,Storage (kWh),PV size (qm),capex,co2
0,1,10,8623.14,2955.4
1,1,20,12261.31,2547.7
2,1,30,15744.4,2159.1
3,1,40,19142.09,2025.7
4,1,50,22397.17,1953.9
5,1,60,25496.62,1899.7
6,1,70,28435.22,1845.3
7,1,80,31213.27,1791.8
8,1,90,33834.91,1753.2
9,1,100,36302.56,1737.7
10,11,10,8623.14,2955.4
11,11,20,12261.31,2547.7
12,11,30,15733.05,2117.3
13,11,40,19127.99,1973.8
14,11,50,22383.12,1902.2
15,11,60,25482.53,1847.8
16,11,70,28420.87,1792.4
17,11,80,31198.98,1739.1
18,11,90,33820.61,1700.5
19,11,100,36288.16,1684.6
20,21,10,8623.14,2955.4
21,21,20,12261.31,2547.7
22,21,30,15722.38,2078.0
23,21,40,19114.06,1922.5
24,21,50,22369.29,1851.2
25,21,60,25468.5,1796.1
26,21,70,28406.64,1740.0
27,21,80,31184.69,1686.5
28,21,90,33806.38,1648.1
29,21,100,36273.87,1632.0
30,31,10,8623.14,2955.4
31,31,20,12261.31,2547.7
32,31,30,15712.45,2041.5
33,31,40,19100.31,1871.8
34,31,50,22355.54,1800.6
35,31,60,25454.49,1744.5
36,31,70,28392.5,1687.9
37,31,80,31170.43,1634.0
38,31,90,33792.18,1595.8
39,31,100,36259.65,1579.6
