,Storage (kWh),PV size (qm),capex,co2,opex,LCOE
0,1,10,31993.37,35640.3,,
1,1,20,27888.82,30839.5,,
2,1,30,20941.23,25775.2,,
3,1,40,11150.62,23877.4,,
4,1,50,-1483.03,22943.7,,
5,11,10,31993.37,35640.3,,
6,11,20,27888.82,30839.5,,
7,11,30,20941.23,25775.2,,
8,11,40,11150.62,23877.4,,
9,11,50,-1483.03,22943.7,,
10,21,10,31993.37,35640.3,,
11,21,20,27888.82,30839.5,,
12,21,30,20941.23,25775.2,,
13,21,40,11150.62,23877.4,,
14,21,50,-1483.03,22943.7,,
15,31,10,31993.37,35640.3,,
16,31,20,27888.82,30839.5,,
17,31,30,20941.23,25775.2,,
18,31,40,11150.62,23877.4,,
19,31,50,-1483.03,22943.7,,
